"Number of Seats","Average Distance To Focal Point","Obstructed Views Ratio","Curvature","Bottom Row Length between Aisles","Number of Rows","Incline","Bottom Row End"
1096,51.8766736563417,0.859649122807018,0.680297854086846,24,19,0.45,24.5
1832,68.3858088993845,0.845679012345679,0.4,20,27,0.45,36.6
1964,65.6597081533477,0.898809523809524,0.680297854086846,23,28,0.45,23.6
1876,67.4470524248678,0.916666666666667,0.5,21,28,0.45,29.8
2396,78.4454882710952,0.805555555555556,0.6,24,24,0.45,47.6
2764,82.0465727044642,0.858024691358025,0.6,24,27,0.45,46.2
1096,47.5459770009359,0.888888888888889,0.5,24,21,0.25,20.7
1500,59.8100789715913,0.888888888888889,0.6,22,24,0.45,25.9
900,51.1604473139963,0.822222222222222,0.4,22,15,0.25,40.3
944,49.5045413295796,0.901960784313726,0.6,23,17,0.35,27.8
1488,58.2702221171188,0.845238095238095,0.5,22,28,0.55,15.8
2340,77.6192156212806,0.995726495726496,0.6,20,26,0.25,44.9
1654,58.0910565122261,0.911111111111111,0.6,22,30,0.45,12.2
882,53.1802299446791,0.611111111111111,0.3,22,16,0.35,45.1
484,38.0811991440132,0.736111111111111,0.6,20,12,0.45,23.1
312,32.233797140672,0.65,0.5,20,10,0.45,21.8
600,42.1104893070616,0.730769230769231,0.3,22,13,0.25,35.8
1696,65.0124353497155,0.885057471264368,0.5,24,29,0.45,24.6
1380,62.3160706313905,0.606060606060606,0.3,23,22,0.55,42.4
1332,59.7662908823442,0.894736842105263,0.6,21,19,0.55,34.3
528,39.7137178507661,0.756410256410256,0.5,21,13,0.45,25.2
1692,64.8571398655655,0.885057471264368,0.5,22,29,0.45,24.4
1360,59.5517554538379,0.933333333333333,0.5,22,20,0.35,37
852,50.9077344746193,0.543859649122807,0.1,22,19,0.45,45
1612,62.8288829506564,0.913333333333333,0.4,22,25,0.25,35.8
920,47.3388907597014,0.93859649122807,0.6,22,19,0.25,22.4
456,39.9802855687253,0.611111111111111,0.2,23,9,0.45,44.8
894,43.9210027486478,0.859649122807018,0.5,22,19,0.35,19.2
556,42.4652353078234,0.818181818181818,0.2,24,22,0.45,15.2
356,28.0413971553458,0.916666666666667,0.6,20,12,0.25,12.5
156,20.1166985065205,0.916666666666667,0.5,20,8,0.25,11.4
970,48.7378773032424,0.88,0.3,20,25,0.25,18.5
802,48.4091899518659,0.805555555555556,0.2,22,24,0.45,20.1
524,39.4807208878405,0.740740740740741,0.2,21,18,0.55,19.5
216,29.0635173156826,0.547619047619048,0.4,23,7,0.35,26.3
1000,53.1389960550466,0.583333333333333,0.1,21,22,0.45,40.5
292,31.3558104138886,0.711111111111111,0.2,21,15,0.55,13.9
242,25.6377943152125,0.583333333333333,0.6,21,8,0.45,16
268,30.6531937572142,0.843137254901961,0.1,22,17,0.25,13.6
626,47.627546704713,0.876543209876543,0.2,21,27,0.35,12.3
312,34.3274173316333,0.569444444444444,0.1,20,8,0.55,42.5
1036,57.0564081169119,0.80952380952381,0.2,22,28,0.35,26.9
954,53.7587343116717,0.850574712643678,0.2,20,29,0.35,17.8
1840,71.5797696390158,0.755555555555556,0.3,23,30,0.55,36.4
264,27.3145215586796,0.666666666666667,0.5,23,8,0.35,19.8
358,29.2158977156766,0.727272727272727,0.6,22,11,0.45,14.6
636,44.6488703619201,0.555555555555556,0.1,23,14,0.45,46.8
988,49.4278374709771,0.885964912280702,0.6,22,19,0.35,24.1
684,41.935363370684,0.848484848484849,0.3,23,22,0.25,15.1
436,37.8382403413771,0.65,0.2,24,10,0.55,38.5
718,49.0381708509902,0.833333333333333,0.2,23,26,0.45,15.4
524,38.1691972112782,0.654761904761905,0.1,24,14,0.35,35.8
